"esfera";"poder";"orgao";"protocolo";"assunto";"outros";"atendimento";"nao_e_pedido_de_informacao";"contem_dados_pessoais";"pedido";"pedido_pasta_do_anexo_pedido";"anexo_com_extensao_pedido";"resposta";"pasta_do_anexo_resposta";"anexo_com_extensao_resposta";"data_recurso_1";"recurso_1";"pasta_do_anexo_recurso_1";"anexo_com_extensao_recurso_1";"data_resposta_recurso_1";"resposta_recurso_1";"pasta_do_anexo_resposta_recurso_1";"anexo_com_extensao_resposta_recurso_1";"data_recurso_2";"recurso_2";"pasta_do_anexo_recurso_2";"anexo_com_extensao_recurso_2";"data_resposta_recurso_2";"resposta_recurso_2";"responsavel"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1382";;;;;;"Olá! Boa tarde. Sou servidor do TCE-MG e estou realizando uma pesquisa sobre auditorias ambientais. Gostaria de saber se no TCM-RJ foi implantado alguma normatização e/ou padronização de suas auditorias ambientais. Obrigado";;;"Este TCMRJ respondeu idêntica consulta, também de servidor do TCE-MG, nos seguintes termos:
\"Caro ******,
 No âmbito do TCMRJ não possuimos normatização e/ou padronização específica para as auditorias ambientais no tocante a 'procedimentos'. Nossas auditorias ambientais são eminentemente operacionais e, para tanto, seguimos as diretrizes da INTOSAI e do TCU.
Em termos de normas nossa Lei Orgânica aborda esse tema expressamente:
 -  Lei nº 289 de 25/11/81, atualizada pela Lei Complementar nº 82/07:
 Art. 3º. Ao Tribunal de Contas do Município do Rio de Janeiro, órgão constitucional de controle externo, no exercício da fiscalização contábil, financeira, orçamentária, operacional e patrimonial, compete:
 (...)
 IV – realizar, por iniciativa própria, da Câmara Municipal, de Comissão Técnica ou de Inquérito, inspeções e auditorias de natureza contábil, financeira, orçamentária, operacional, patrimonial e ambiental, nas unidades administrativas dos Poderes Legislativo e Executivo, e demais entidades referidas no inciso II.\"
 Abrçs,
*********
 TCMRJ - (21)3824-3736\"";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1404";;;;;;"Tenho um processo de aposentadoria por invalidez que foi encaminhado pela Gerência de Perícias Médicas do Rio para o Tribunal de Contas. Isto ocorreu em novembro de 2009. Já tentei buscar informações na Prefeitura do Rio mas sem êxito, sei apenas qhe há uma exigência a cumprir. 
Por favor gostaria de esclarecimentos e por que este processo não tem andamento desde novembro de 2009.
O meu processo é 07/*******/2009, meu nome é ******* e minha matrícula é ********.
Att, *****.";;;"Agradecendo seu chamado, informamos que o exame de seu processo se encontra na dependência de posicionamento a ser adotado pelo Poder Executivo em relação à matéria de igual natureza tratada em processo similar.";;;;;;;;;;;;;;;;;"Ana"
"municipal";"tribunal de contas";"tribunal de contas municipal do Rio de Janeiro";"1413";;;;;;"O Requerente solicita que se verifique se houve depois da sua aposentadoria,(processo 014/******/1995), algum complemento, ou ressarcimento, referente a época que encontrava-se na ativa, na FPJ. Em data anterior, já de posse do seu processo de aposentadoria, solicitaram lhe que o apresentasse no seu Órgão de lotação, temendo a perda do mesmo não o apresentou, ficando assim sem saber se havia direito à algum complemento salarial, visto que posterior a sua aposentadoria não recebeu nada além, como complemento ou refixação. Pede a esta Ouvidoria que lhe oriente e aguarda que o informemos.Mas pede ainda que verifique se houve depois sua aposentadoria algum complemento referente a época que encontrava-se na ativa na FPJ.";;;"Em consulta ao sistema de folha de pagamento do município (Ergon - Ativo e Inativo), não verificamos qualquer incompatibilidade entre as verbas recebidas pelo ex-servidor na atividade e aquelas percebidas após a inativação (março/1996).
Ressaltamos que não houve no período pós-aposentadoria, aprovação de qualquer lei relativa à categoria do solicitante que pudesse representar percepção de vantagens para o mesmo, pela via da \"PARIDADE\".";;;;;;;;;;;;;;;;;"Ana"
