CASO	DATA CONTATO	data_do_pedido	SOLICITAÇÃO	DATA RESPOSTA	data_da_resposta	RESPOSTA	ANEXOS
1	19/06/2012	19/06/2012	Conselho Regional de museologia / R1 - Descrição de cargos do Memorial da Câmara	25/06/2012 (e-mail)	25/06/2012	ANEXO 1	
2	13/06/2012	13/06/2012	Convocação em concurso da CMS	24/06/2012 (e-mail)	24/06/2012	ANEXO 2	
3	14/05/2012	14/05/2012	Convocação em concurso da CMS	20/05/2012 (e-mail)	20/05/2012	ANEXO 3	
4	31/05/2012	31/05/2012	Convocação em concurso da CMS	26/06/2012 (e-mail)	26/06/2012	ANEXO 4	
5	19/06/2012	19/06/2012	Relação de todos os títulos de Cidadão de Salvador concedidos nos anos de 2011 e 2012	-		Não localizada	
6	21/08/2012	21/08/2012	Boa tarde, gostaria de solicitar da comissão da copa, referente à situação da praça de esportes Dr. João mangabeira localizada no vale dos barris, pós estão construindo a arena fonte nova, mas até o momento a diretoria da liga desportiva e cultural vale dos barris não tem conhecimento da comissão da copa referente as reformas da nossa praça que fica em torno da arena pós são mais de 70 grupos associados, gostaríamos de um parecer sobre este assunto sem mais Edilberto Freitas presidente liga desportiva e cultural vale dos barris	-		Não localizada	
7	29/08/2012	29/08/2012	Estrutura Organizacional da CMS	29/08/2012	29/08/2012	Solicitação atendida pelo Setor de Tramitação	
8	28/08/2012	28/08/2012	Legislação municipal sobre o GTS	29/08/2012 (e-mail)	29/08/2012	Solicitação atendida pelo Setor de Tramitação	
9	30/08/2012	30/08/2012	"Cargo de FISCAL DE CONTROLE SANITÁRIO da VISA (Vigilância Sanitária de Salvador). Gostaria de saber: - A quantidade de cargos existentes; - Nome dos ""agentes""; - Qual a especialidade (profissão) de cada cargo; - Qual o tipo de contrato do ""agente"" com o município. (servidor efetivo, REDA, Emprestado); - Remuneração dos cargos."	-		Não localizada	
10	30/08/2012	30/08/2012	Requerimento de convocação em concurso da CMS	04/07/2012 (e-mail)	04/07/2012	Anexo 5	
11	05/07/2012	05/07/2012	Convocação em concurso da CMS	11/09/2012	11/09/2012	Anexo 6	
12	06/08/2012	06/08/2012	Convocação em concurso da CMS	07/08/2012	07/08/2012	Referente à sua solicitação, informamos que a Câmara tem convocado gradativamente os aprovados, mas não é possível precisar de forma exata o número de convocações até dezembro. Sugerimos que acompanhe as informações divulgadas no portal da Câmara, no link referente ao concurso público. À disposição para outros esclarecimentos.	
13		10/09/2012	Legislação pertinente à composição dos gabinetes de vereadores.	10/092012	10/092012	Informação atendida no mesmo dia (10/09/2012) - Setor de Tramitação	
