Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta ao usuário	RESPOSTAS COM ANEXO
001	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/01/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Solicito a informação do requisito para ingresso no cargo de Analista Judiciário. É necessário ter formação superior no Curso de Direito? Qual a Lei do cargo?"	23/01/2017	"Informo que o requesito necessário para o ingresso no quadro do TJPE, no cargo de Analista Judiciário, até a presente data, é ter o nível superior completo. A Lei 13.170 de dezembro de 2006 alterou o quadro de cargos do Poder Judiciário, constando, no anexo IV desta, as atribuições e os requisitos para provimento dos cargos efetivos.
Segue, abaixo, o quadro referente ao cargo de Analista Judiciário, conforme a referida Lei:                                                                     
ANALISTA JUDICIÁRIO - GRUPO JURÍDICO-ADMINISTRATIVO:                                                                     Atribuições: Realizar atividades de níveis superior a fim de fornecer suporte técnico e administrativo, favorecendo o exercício da função judiciante pelos magistrados e/ou órgãos julgadores. Compreende o processamento de feitos, a elaboração de pareceres, certidões e relatórios estatísticos e análise e pesquisa de legislação, doutrina e jurisprudência. Envolve a indexação de documentos e atendimentos às partes, dentre outras atividades de mesma natureza e grau de complexidade. Realizar atividades de níveis superior a fim de favorecer o adequado funcionamento e desenvolvimento da organização. Compreende o planejamento, execução, o acompanhamento e a avaliação de planos, projetos, programas ou estudos ligados à administração de recursos humanos, materiais e patrimoniais, orçamentários e financeiros, bem como ao desenvolvimento organizacional, à contadoria e/ou auditoria. Envolve a emissão de pareceres, relatórios técnicos, informações em processos administrativos, bem como outras atividades de mesma natureza e grau de complexidade. Requisitos: Nível Superior Completo.
"	                                                                                                                                                                                         
002	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	25/01/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria de informações acerca da aprovação do pagamento de valores a título de retroativos do Auxílio Moradia destinados aos desembargadores do Tribunal de Justiça de Pernambuco. Desejo ter acesso ao ato normativo ou ata resultante desta aprovação."	16/02/2017	"Informo que o Tribunal de Justiça de Pernambuco não aprovou qualquer pagamento de valores a títulos de auxílio moradia retroativo para magistrados. Imperioso ressaltar que a Corte Especial do Tribunal de Justiça colheu o pleito da AMEPE relativo ao auxílio alimentação retroativo e outro, que até o presente não foram pagos, tendo sido republicado o acórdão no DJe nº 02/2017, de 03 de janeiro de 2017, por haver saído com incorreções com o arcórdão publicado no DJe nº 01/2017, de 02/01/2017.

"	                                                                                                                                                                                         
003	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	12/02/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Gostaria que me fosse enviada uma lista de associações civis ou programas governamentais dos quais o Tribunal de Justiça de Pernambuco tenha conhecimento, especialmente seu setor de Conciliação/Mediação, que precisem de advogado ou bacharel em Direito para serviços jurídicos voluntários. 

Também gostaria de saber quando será publicado o próximo edital para conciliador/mediador do Tribunal de Justiça de Pernambuco.
"	16/03/2017	"As informações solicitadas podem ser adquiridas diretamente na Coordenadoria Geral do Sistema de Resolução Concensual e Arbrital de Conflitos, localizada no 5º andar do Fórum Rodolfo Aureliano, Ala Norte, mediante contato telefônico, nos seguintes números: 31810493/31810750/31820461/31820446. 


"	                                                                                                                                                                                         
004	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	20/02/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Solicito informar a relação das unidades de origem processual com seus respectivos códigos usados no PJE.

Em tempo, a tabela disponível no site do CNJ está defasada.

"	10/03/2017	"Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 004/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela SETIC - TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638



"	                      SIM                                       Pedido de informação 004/2017                                                                                                                                                                  
005	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	20/02/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Boa tarde! Gostaria de obter a informação sobre a quantidade de cargos de Técnico Judiciário. Grata

"	06/03/2017	"Até a finalização do concurso público/2012, em 22 de março de 2016, todos os cargos de Técnico Judiciário/TPJ que se encontravam vagos foram providos; Atualmente temos 68 (sessenta e oito) cargos vagos de Técnico Judiciário/TPJ, em virtude de exonerações, aposentadorias e falecimentos.


"	
006	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	22/02/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Prezados gostaria de saber quantos candidatos foram nomeados para os cargos Técnico Judiciário - TPJ - Judiciária e Administrativa, Analista Judiciário - APJ - Judiciária e Administrativa e Oficial de Justiça - OPJ - Judiciária e Administrativa no Pólo de Classificação 03 - Região Metropolitana II no último concurso público para servidores. Grato.

"	10/03/2017	"Até a finalização do concurso público/2012, em 22 de março de 2016, todos os cargos de Técnico Judiciário/TPJ, Analista Judiciário/APJ e Oficial de Justiça/OPJ que se encontravam vagos foram providos, distribuídos para todo Estado; No referido concurso foram nomeados para o Polo 03/Região Metropolitana II o quantitativo de: Técnico Judiciário/TPJ - 111; Analista Judiciário/APJ - 95; Oficial de Justiça/OPJ - 55.


"	                                                                                                                                                                                         
007	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	27/02/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Olá, gostaria de saber quantas pessoas foram nomeadas no concurso de 2011 para os cargos de analista judiciário (APJ) e oficial de justiça nos seguintes polos: 
- Pólo de Classificação 07 - Agreste Setentrional 
- Pólo de Classificação 08 - Agreste Central I 
- Pólo de Classificação 09 - Agreste Central II 
- Pólo de Classificação 10 - Agreste Meridional 
grato.                                                                                     "	14/03/2017	"Nomeados do concurso nos cargos e polos: Analista Judiciário/APJ: 07/Agreste Sententrional - 53; 08/Agreste Central I - 87; 09/Agreste Central II - 41; 10/Agreste Meridional - 73. Oficial de Justiça/OPJ: 07/Agreste Sententrional - 15; 08/Agreste Central I - 20; 09/Agreste Central II - 09; 10/Agreste Meridional - 15.                                    "	                                                                                                                                                                                         
008	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	15/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
(...)busco as seguintes informações: 
a) Qual o número de Contestações e Reconvenções propostas no período compreendido entre 2010 ? 2016? 
b) Qual o número de Varas Cíveis Estaduais?
c) O TJ/PE realiza recolhimento de custas para a propositura de reconvenção na contestação?

(A solicitação possui base no direito fundamental de acesso à informação e em conformidade com os princípios básicos da administração pública tutelados pela Lei nº 12.527/11). 
"	14/04/2017	"A) Números de Contestações e Reconvenções propostas entre 2010 e 2016:                                                                                                    2010 - 09 / 2011 - 08 / 2012 - 06 / 2013 - 11 / 2014 - 03 / 2015 - 06 / 2016 - 01 - Total 44.                                                                             Obs.: 1. Considerados apenas processos de Reconvenção autuados no período.  2. O critério de extração consiste nos processos associados ao feito 1087-Reconvenção no Judwin 1º Grau, uma vez que Reconvenção não é uma classe CNJ.                                          B) Número de Varas Cíveis Estaduais: Atualmente existem 136 varas cíveis. Obs.: 1. Não foram consideradas Varas de competência geral ou de natureza cível especializada (Ex. execução de título extra judicial, fazenda, etc). 2. As seções das varas cíveis da Capital foram consideradas como varas distintas para efeito dessa contagem.            C) O TJPE realiza recolhimento de custas para propositura de reconvenção na contestação? Sim. A regra de cálculo consiste em: 1% do valor da causa como taxa judiciária (limitado ao teto de R$ 29.796,05) e custas de R$ 144,10, se o valor da causa for até R$ 1.000,00; para valores superiores temos custas de R$ 144,10 + 0,8%
do valor da causa (limitado ao teto de R$ 29.796,05).

"	                                                                                                                                                                                         
009	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	17/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
As comarcas do interior, especialmente a de Arcoverde, não esta fornecendo informações relativas a EXISTÊNCIA/INEXISTÊNCIA de processos de FALENCIA, CONCORDADATA e RECUPERAÇÃO JUDICIAL para as empresas participarem de LITAÇÕES PÚBLICAS relativas a Processos FÍSICOS.
Sabe-se que com relação aos processos eletrônicos a certidão é emitida pelo próprio Pje, ocorre que os Orgãos Públicos estão exigindo certidão com relação aos processos físicos, uma vez o processo eletrônico fora implantado a pouco tempo e ainda existem processos físicos que não são abrangidos pelas certidões do Pje.
Agurdo urgentemente qual o procedimento adotado para obter a certidão e se procede a informação da distribuição quanto ao não fornecimento da certidão com relação aos processos físicos, inclusive em atenção a Lei 12.257/2011"	26/04/2017	Em respsota ao pedido de informação que relata que as comarcas do interior, especialmente a de Arcoverde, não estão fornecendo certidões relacionadas à existência de processos de falência, concordata e recuperação judicial para que empresas psrticipassem de licitações públicas relacionadas a processos físicos, informo que erão adotadas medidas cabíveis no sentido de esclarecer aos servidores que as citadas certidões, pertinentes a processos físicos, devem ser emitidas pelo Distribuidor, enquanto que as certidões referentes a processos eletrônicos devem ser emitidas pelo interessado, por menio do sistema PJe.	                                                                                                                                                                                         
010	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	21/03/2017	"Prezado Dr./a Ouvidor/a, boa tarde!
 
Venho solicitar ao Tribunal de Justiça de Pernambuco as seguintes informações, referentes aos Juízes de Pernambuco, que exerceram as atividades de Juiz durante o período de 1980 a 2010:

- Nome do Juiz
- Instituição de Ensino Superior em que se formou Bacharel em Direito
- Ano de Conclusão do Curso de Bacharelado em Direito
- Ano em que se tornou Juiz de Direito
"	20/04/2017	"
Prezado(a) Senhor(a), 

PEDIDO DE INFORMAÇÃO Nº 010/2017                                                          
Segue, em arquivo anexo, resposta ao Pedido de Informação registrado nesta Ouvidoria sob o número em epígrafe, encaminhada pela Secretaria Judiciária deste TJPE.

Atenciosamente, 

Ouvidoria Geral da Justiça/CPSIC
Tel.: (81) 3182-0638
"	SIM                  Pedido de informação 010/2017
